DieName,DieLtr,DieNo,Width,Length,CornerRadius
R-1068,R,1068,2.38,2.00,0.00
R-1069,R,1069,2.25,1.75,0.00
R-1070,R,1070,1.19,1.00,0.00
R-1071,R,1071,4.50,2.75,0.19
R-1072,R,1072,1.69,8.63,0.00
R-1073,R,1073,0.25,2.25,0.03
R-1074,R,1074,1.99,0.49,0.13
R-1075,R,1075,3.13,4.50,0.13
R-1077,R,1077,2.00,11.13,0.13
R-1078,R,1078,4.81,4.94,0.13
R-1079,R,1079,2.50,0.75,0.00
R-1080,R,1080,5.00,4.00,0.13
R-1081,R,1081,1.69,1.50,0.06
R-1082,R,1082,5.00,4.50,0.19
R-1083,R,1083,2.38,1.63,0.06
R-1084,R,1084,3.50,0.75,0.13
R-1085,R,1085,2.69,0.56,0.11
R-1086,R,1086,4.00,8.00,0.13
R-1087,R,1087,3.00,9.50,0.13
R-1088/3,R,1088,7.25,2.56,0.13
R-1089,R,1089,3.00,10.75,0.13
R-1090/3,R,1090,5.50,7.75,0.25
R-1091,R,1091,2.50,9.50,0.06
R-1092B,R,1092,1.75,1.50,0.00
R-1092,R,1092,1.75,1.50,0.00
R-1093,R,1093,2.31,2.31,0.44
R-1094,R,1094,2.43,0.53,0.00
R-1095,R,1095,3.88,2.05,0.00
R-1096,R,1096,1.25,15.00,0.06
R-1097,R,1097,4.25,5.50,0.00
R-1097/3,R,1097,4.25,5.50,0.00
R-1098,R,1098,1.53,1.09,0.06
R-1099,R,1099,5.25,3.00,0.00
R-1100,R,1100,3.86,2.99,0.02
R-1101,R,1101,4.31,2.99,0.02
R-1102,R,1102,2.17,0.33,0.00
R-1103,R,1103,2.25,3.75,0.00
R-1104,R,1104,2.25,3.00,0.00
R-1105,R,1105,2.25,3.50,0.00
R-1106,R,1106,2.75,4.75,0.00
R-1107,R,1107,3.50,10.00,0.00
R-1108,R,1108,3.25,3.25,0.00
R-1109,R,1109,3.19,1.00,0.13
R-1110,R,1110,4.53,4.33,0.00
R-1111,R,1111,4.53,3.15,0.00
R-1112,R,1112,1.26,0.96,0.02
R-1114,R,1114,3.25,6.25,0.13
R-1115,R,1115,3.13,4.25,0.13
R-1116,R,1116,4.81,4.69,0.13
R-1117,R,1117,6.69,12.81,0.13
R-1118/3,R,1118,4.50,6.38,0.13
R-1119,R,1119,0.75,4.25,0.00
R-1120,R,1120,3.50,9.00,0.00
R-1121,R,1121,3.75,4.50,0.14
R-1122,R,1122,0.75,6.50,0.00
R-1123,R,1123,1.00,7.50,0.00
R-1124,R,1124,4.75,3.50,0.22
R-1125,R,1125,5.25,3.50,0.22
R-1126,R,1126,3.75,3.50,0.22
R-1127,R,1127,4.00,3.50,0.22
R-1128,R,1128,4.19,3.50,0.22
